experiment_name,timestamp,image_resolution,num_bins,epochs,batch_size,learning_rate,final_train_loss,final_val_loss,test_mse,test_mae
exp-SimpleStar-128x128-10bins-10rot-10stepsize-0.1gamma-BR,5/15/2025 7:01,"[128, 128]",10,10,64,0.0005,1.476801527,3.019295245,2.923756599,1.468931913
exp-SimpleStar-128x128-10bins-10rot-10stepsize-0.5gamma-BR,5/15/2025 6:43,"[128, 128]",10,10,64,0.0005,1.145734295,1.075156868,1.113857627,0.642851472
exp-SimpleStar-128x128-10bins-10rot-10stepsize-0.9gamma-BR,5/15/2025 6:25,"[128, 128]",10,10,64,0.0005,1.103635999,1.059000693,1.062633753,0.593845665
exp-SimpleStar-128x128-10bins-10rot-10stepsize-1.0gamma-BR,5/15/2025 6:07,"[128, 128]",10,10,64,0.0005,1.027265062,0.87610497,0.910539567,0.419230372
exp-SimpleStar-128x128-10bins-10rot-2stepsize-0.1gamma-BR,5/15/2025 9:24,"[128, 128]",10,10,64,0.0005,3.409245238,3.122788593,3.213913918,1.221802592
exp-SimpleStar-128x128-10bins-10rot-2stepsize-0.5gamma-BR,5/15/2025 9:06,"[128, 128]",10,10,64,0.0005,1.336712322,1.216761678,1.250715733,0.627836525
exp-SimpleStar-128x128-10bins-10rot-2stepsize-0.9gamma-BR,5/15/2025 8:48,"[128, 128]",10,10,64,0.0005,11.59401661,12.31396806,10.93213272,1.454887509
exp-SimpleStar-128x128-10bins-10rot-2stepsize-1.0gamma-BR,5/15/2025 8:30,"[128, 128]",10,10,64,0.0005,1.112196129,0.914444536,0.943321288,0.451539665
exp-SimpleStar-128x128-10bins-10rot-5stepsize-0.1gamma-BR,5/15/2025 8:13,"[128, 128]",10,10,64,0.0005,1.245333801,1.024547003,1.054059267,0.492206126
exp-SimpleStar-128x128-10bins-10rot-5stepsize-0.5gamma-BR,5/15/2025 7:55,"[128, 128]",10,10,64,0.0005,0.979354459,0.910518996,0.94688648,0.464729071
exp-SimpleStar-128x128-10bins-10rot-5stepsize-0.9gamma-BR,5/15/2025 7:37,"[128, 128]",10,10,64,0.0005,1.531149274,1.141254298,1.155262828,0.620390654
exp-SimpleStar-128x128-10bins-10rot-5stepsize-1.0gamma-BR,5/15/2025 7:19,"[128, 128]",10,10,64,0.0005,1.256552408,1.005376734,1.003607154,0.469439059
exp-SimpleStar-128x128-10bins-4rot-2stepsize-0.1gamma-BR,5/15/2025 5:49,"[128, 128]",10,10,64,0.0005,4.459731761,4.278601289,4.337281704,1.558083773
exp-SimpleStar-128x128-10bins-4rot-2stepsize-0.5gamma-BR,5/15/2025 5:31,"[128, 128]",10,10,64,0.0005,1.50791989,1.32086625,1.429319024,0.764777899
exp-SimpleStar-128x128-20bins-0rot-10stepsize-0.1gamma-BR,5/14/2025 10:27,"[128, 128]",20,10,64,0.0005,0.470670409,0.475393511,0.467965871,0.482286394
exp-SimpleStar-128x128-20bins-0rot-10stepsize-0.5gamma-BR,5/14/2025 10:23,"[128, 128]",20,10,64,0.0005,1.571550423,1.555761382,1.414806724,0.497585863
exp-SimpleStar-128x128-20bins-0rot-10stepsize-0.9gamma-BR,5/14/2025 10:18,"[128, 128]",20,10,64,0.0005,3.003065306,2.838328287,2.813645124,0.69811511
exp-SimpleStar-128x128-20bins-0rot-10stepsize-1.0gamma-BR,5/14/2025 10:14,"[128, 128]",20,10,64,0.0005,0.313443189,0.34440471,0.391528994,0.466144085
