num_classes,resolution,test_samples,correct_predictions,accuracy
10,"(32, 32)",2000,1844,92.2
10,"(48, 48)",2000,1855,92.75
10,"(64, 64)",2000,1881,94.05
10,"(128, 128)",2000,1877,93.85
10,"(256, 256)",2000,1841,92.05
20,"(32, 32)",2000,1699,84.95
20,"(48, 48)",2000,1725,86.25
20,"(64, 64)",2000,1800,90.0
20,"(128, 128)",2000,1792,89.6
20,"(256, 256)",2000,1818,90.9
50,"(32, 32)",2000,1327,66.35
50,"(48, 48)",2000,1321,66.05
50,"(64, 64)",2000,1480,74.0
50,"(128, 128)",2000,1538,76.9
50,"(256, 256)",2000,1504,75.2
80,"(32, 32)",2000,1076,53.8
80,"(48, 48)",2000,1110,55.5
80,"(64, 64)",2000,1142,57.1
80,"(128, 128)",2000,1199,59.95
80,"(256, 256)",2000,1275,63.75
100,"(32, 32)",2000,737,36.85
100,"(48, 48)",2000,1005,50.25
100,"(64, 64)",2000,966,48.3
100,"(128, 128)",2000,1015,50.75
100,"(256, 256)",2000,1105,55.25
150,"(32, 32)",2000,597,29.85
150,"(48, 48)",2000,573,28.65
150,"(64, 64)",2000,654,32.7
150,"(128, 128)",2000,792,39.6
150,"(256, 256)",2000,767,38.35
